user_id,platform,platform_version,device
23024,android,6,MotoE2(4G-LTE)
23025,ios,10.1,"iPhone6,2"
23026,android,6,ONE A2003
23027,android,4.4,X11
23028,android,5.1,C6603
23029,android,6,HTC One_M8
23030,android,5.1,SM-J320FN
23031,android,5.1,SM-J320FN
23032,android,5.1,SM-J320FN
23033,ios,10.2,"iPhone7,1"
23034,android,5.1,SM-J320FN
23035,ios,10.2,"iPhone7,2"
23036,android,5.1,VF-795
23037,ios,10.2,"iPhone7,1"
23038,ios,10.2,"iPhone7,1"
23039,android,5.1,SM-G531F
23040,android,4.4,HTC Desire 620
23041,android,6,SM-G900F
23042,android,6,SM-G900F
23043,android,6,SM-G900F
23044,android,6,SM-G900F
23045,ios,10.2,"iPhone7,1"
23046,android,6,Moto G (4)
23047,ios,10.2,"iPhone7,1"
23048,android,6,ONEPLUS A3003
23049,android,6,SM-G900F
23050,ios,10.2,"iPhone7,2"
23051,ios,10.2,"iPhone7,2"
23052,ios,10.1,"iPhone8,4"
23053,android,5.1,Vodafone Smart ultra 6
